id,firstname,surname,share,year,category
1039,David,Baker,2,2024,chemistry
1040,Demis,Hassabis,4,2024,chemistry
1041,John,Jumper,4,2024,chemistry
1044,Daron,Acemoglu,3,2024,economics
1045,Simon,Johnson,3,2024,economics
1046,James,Robinson,3,2024,economics
1042,Kang,Han,1,2024,literature
1043,Nihon Hidankyo,,1,2024,peace
1037,John,Hopfield,2,2024,physics
1038,Geoffrey,Hinton,2,2024,physics
1035,Victor,Ambros,2,2024,medicine
1036,Gary,Ruvkun,2,2024,medicine
1029,Moungi,Bawendi,3,2023,chemistry
1030,Louis,Brus,3,2023,chemistry
1031,Aleksey,Yekimov,3,2023,chemistry
1034,Claudia,Goldin,1,2023,economics
1032,Jon,Fosse,1,2023,literature
1033,Narges,Mohammadi,1,2023,peace
1026,Pierre,Agostini,3,2023,physics
1027,Ferenc,Krausz,3,2023,physics
1028,Anne,L’Huillier,3,2023,physics
1024,Katalin,Karikó,2,2023,medicine
1025,Drew,Weissman,2,2023,medicine
1015,Carolyn,Bertozzi,3,2022,chemistry
1016,Morten,Meldal,3,2022,chemistry
743,Barry,Sharpless,3,2022,chemistry
1021,Ben,Bernanke,3,2022,economics
1022,Douglas,Diamond,3,2022,economics
1023,Philip,Dybvig,3,2022,economics
1017,Annie,Ernaux,1,2022,literature
1018,Ales,Bialiatski ,3,2022,peace
1019,Memorial,,3,2022,peace
1020,Center for Civil Liberties,,3,2022,peace
1012,Alain,Aspect,3,2022,physics
1013,John ,Clauser,3,2022,physics
1014,Anton,Zeilinger,3,2022,physics
1011,Svante,Pääbo,1,2022,medicine
1002,Benjamin,List,2,2021,chemistry
1003,David,MacMillan,2,2021,chemistry
1007,David,Card,2,2021,economics
1008,Joshua,Angrist,4,2021,economics
1009,Guido,Imbens,4,2021,economics
1004,Abdulrazak,Gurnah,1,2021,literature
1005,Maria,Ressa,2,2021,peace
1006,Dmitry,Muratov,2,2021,peace
999,Syukuro,Manabe,4,2021,physics
1000,Klaus,Hasselmann,4,2021,physics
1001,Giorgio,Parisi,2,2021,physics
997,David,Julius,2,2021,medicine
998,Ardem,Patapoutian,2,2021,medicine
991,Emmanuelle,Charpentier,2,2020,chemistry
992,Jennifer A.,Doudna,2,2020,chemistry
995,Paul,Milgrom,2,2020,economics
996,Robert,Wilson,2,2020,economics
993,Louise,Glück,1,2020,literature
994,World Food Programme,,1,2020,peace
988,Roger,Penrose,2,2020,physics
989,Reinhard,Genzel,4,2020,physics
990,Andrea,Ghez,4,2020,physics
985,Harvey,Alter,3,2020,medicine
986,Michael,Houghton,3,2020,medicine
987,Charles,Rice,3,2020,medicine
976,John,Goodenough,3,2019,chemistry
977,M. Stanley,Whittingham,3,2019,chemistry
978,Akira,Yoshino,3,2019,chemistry
982,Abhijit,Banerjee,3,2019,economics
983,Esther,Duflo,3,2019,economics
984,Michael,Kremer,3,2019,economics
980,Peter,Handke,1,2019,literature
981,Abiy,Ahmed Ali,1,2019,peace
973,James,Peebles,2,2019,physics
974,Michel,Mayor,4,2019,physics
975,Didier,Queloz,4,2019,physics
970,William,Kaelin,3,2019,medicine
971,Peter,Ratcliffe,3,2019,medicine
972,Gregg,Semenza,3,2019,medicine
963,Frances H.,Arnold,2,2018,chemistry
964,George P.,Smith,4,2018,chemistry
965,Sir Gregory P.,Winter,4,2018,chemistry
968,William D.,Nordhaus,2,2018,economics
969,Paul M.,Romer,2,2018,economics
979,Olga,Tokarczuk,1,2018,literature
966,Denis,Mukwege,2,2018,peace
967,Nadia,Murad,2,2018,peace
960,Arthur,Ashkin,2,2018,physics
961,Gérard,Mourou,4,2018,physics
962,Donna,Strickland,4,2018,physics
958,James P.,Allison,2,2018,medicine
959,Tasuku,Honjo,2,2018,medicine
944,Jacques,Dubochet,3,2017,chemistry
945,Joachim,Frank,3,2017,chemistry
946,Richard,Henderson,3,2017,chemistry
949,Richard H.,Thaler,1,2017,economics
947,Kazuo,Ishiguro,1,2017,literature
948,International Campaign to Abolish Nuclear Weapons,,1,2017,peace
941,Rainer,Weiss,2,2017,physics
942,Barry C.,Barish,4,2017,physics
943,Kip S.,Thorne,4,2017,physics
938,Jeffrey C.,Hall,3,2017,medicine
939,Michael,Rosbash,3,2017,medicine
940,Michael W.,Young,3,2017,medicine
931,Jean-Pierre,Sauvage,3,2016,chemistry
932,Sir J. Fraser,Stoddart,3,2016,chemistry
933,Bernard L.,Feringa,3,2016,chemistry
935,Oliver,Hart,2,2016,economics
936,Bengt,Holmström,2,2016,economics
937,Bob,Dylan,1,2016,literature
934,Juan Manuel,Santos,1,2016,peace
928,David J.,Thouless,2,2016,physics
929,F. Duncan M.,Haldane,4,2016,physics
930,J. Michael,Kosterlitz,4,2016,physics
927,Yoshinori,Ohsumi,1,2016,medicine
921,Tomas,Lindahl,3,2015,chemistry
922,Paul,Modrich,3,2015,chemistry
923,Aziz,Sancar,3,2015,chemistry
926,Angus,Deaton,1,2015,economics
924,Svetlana,Alexievich,1,2015,literature
925,National Dialogue Quartet,,1,2015,peace
919,Takaaki,Kajita,2,2015,physics
920,Arthur B.,McDonald,2,2015,physics
916,William C.,Campbell,4,2015,medicine
917,Satoshi,Ōmura,4,2015,medicine
918,Youyou,Tu,2,2015,medicine
909,Eric,Betzig,3,2014,chemistry
910,Stefan W.,Hell,3,2014,chemistry
911,William E.,Moerner,3,2014,chemistry
915,Jean,Tirole,1,2014,economics
912,Patrick,Modiano,1,2014,literature
913,Kailash,Satyarthi,2,2014,peace
914,Malala,Yousafzai,2,2014,peace
906,Isamu,Akasaki,3,2014,physics
907,Hiroshi,Amano,3,2014,physics
908,Shuji,Nakamura,3,2014,physics
903,John,O'Keefe,2,2014,medicine
904,May-Britt,Moser,4,2014,medicine
905,Edvard I.,Moser,4,2014,medicine
889,Martin,Karplus,3,2013,chemistry
890,Michael,Levitt,3,2013,chemistry
891,Arieh,Warshel,3,2013,chemistry
894,Eugene F.,Fama,3,2013,economics
895,Lars Peter,Hansen,3,2013,economics
896,Robert J.,Shiller,3,2013,economics
892,Alice,Munro,1,2013,literature
893,Organisation for the Prohibition of Chemical Weapons,,1,2013,peace
887,François,Englert,2,2013,physics
888,Peter,Higgs,2,2013,physics
884,James E.,Rothman,3,2013,medicine
885,Randy W.,Schekman,3,2013,medicine
886,Thomas C.,Südhof,3,2013,medicine
878,Robert J.,Lefkowitz,2,2012,chemistry
879,Brian,Kobilka,2,2012,chemistry
882,Alvin E.,Roth,2,2012,economics
883,Lloyd S.,Shapley,2,2012,economics
880,Mo,Yan,1,2012,literature
881,European Union,,1,2012,peace
876,Serge,Haroche,2,2012,physics
877,David J.,Wineland,2,2012,physics
874,Sir John B.,Gurdon,2,2012,medicine
875,Shinya,Yamanaka,2,2012,medicine
867,Dan,Shechtman,1,2011,chemistry
872,Thomas J.,Sargent,2,2011,economics
873,Christopher A.,Sims,2,2011,economics
868,Tomas,Tranströmer,1,2011,literature
869,Ellen,Johnson Sirleaf,3,2011,peace
870,Leymah,Gbowee,3,2011,peace
871,Tawakkol,Karman,3,2011,peace
864,Saul,Perlmutter,2,2011,physics
865,Brian P.,Schmidt,4,2011,physics
866,Adam G.,Riess,4,2011,physics
861,Bruce A.,Beutler,4,2011,medicine
862,Jules A.,Hoffmann,4,2011,medicine
863,Ralph M.,Steinman,2,2011,medicine
851,Richard F.,Heck,3,2010,chemistry
852,Ei-ichi,Negishi,3,2010,chemistry
853,Akira,Suzuki,3,2010,chemistry
856,Peter A.,Diamond,3,2010,economics
857,Dale T.,Mortensen,3,2010,economics
858,Christopher A.,Pissarides,3,2010,economics
854,Mario,Vargas Llosa,1,2010,literature
855,Xiaobo,Liu,1,2010,peace
849,Andre,Geim,2,2010,physics
850,Konstantin,Novoselov,2,2010,physics
848,Robert G.,Edwards,1,2010,medicine
841,Venkatraman,Ramakrishnan,3,2009,chemistry
842,Thomas A.,Steitz,3,2009,chemistry
843,Ada E.,Yonath,3,2009,chemistry
846,Elinor,Ostrom,2,2009,economics
847,Oliver E.,Williamson,2,2009,economics
844,Herta,Müller,1,2009,literature
845,Barack,Obama,1,2009,peace
838,Charles K.,Kao,2,2009,physics
839,Willard S.,Boyle,4,2009,physics
840,George E.,Smith,4,2009,physics
835,Elizabeth H.,Blackburn,3,2009,medicine
836,Carol W.,Greider,3,2009,medicine
837,Jack W.,Szostak,3,2009,medicine
829,Osamu,Shimomura,3,2008,chemistry
830,Martin,Chalfie,3,2008,chemistry
831,Roger Y.,Tsien,3,2008,chemistry
834,Paul,Krugman,1,2008,economics
832,Jean-Marie Gustave,Le Clézio,1,2008,literature
833,Martti,Ahtisaari,1,2008,peace
826,Yoichiro,Nambu,2,2008,physics
827,Makoto,Kobayashi,4,2008,physics
828,Toshihide,Maskawa,4,2008,physics
823,Harald,zur Hausen,2,2008,medicine
824,Françoise,Barré-Sinoussi,4,2008,medicine
825,Luc,Montagnier,4,2008,medicine
816,Gerhard,Ertl,1,2007,chemistry
820,Leonid,Hurwicz,3,2007,economics
821,Eric S.,Maskin,3,2007,economics
822,Roger B.,Myerson,3,2007,economics
817,Doris,Lessing,1,2007,literature
818,Intergovernmental Panel on Climate Change,,2,2007,peace
819,Al,Gore,2,2007,peace
814,Albert,Fert,2,2007,physics
815,Peter,Grünberg,2,2007,physics
811,Mario R.,Capecchi,3,2007,medicine
812,Sir Martin J.,Evans,3,2007,medicine
813,Oliver,Smithies,3,2007,medicine
806,Roger D.,Kornberg,1,2006,chemistry
807,Edmund S.,Phelps,1,2006,economics
808,Orhan,Pamuk,1,2006,literature
809,Muhammad,Yunus,2,2006,peace
810,Grameen Bank,,2,2006,peace
804,John C.,Mather,2,2006,physics
805,George F.,Smoot,2,2006,physics
802,Andrew Z.,Fire,2,2006,medicine
803,Craig C.,Mello,2,2006,medicine
794,Yves,Chauvin,3,2005,chemistry
795,Robert H.,Grubbs,3,2005,chemistry
796,Richard R.,Schrock,3,2005,chemistry
799,Robert J.,Aumann,2,2005,economics
800,Thomas C.,Schelling,2,2005,economics
801,Harold,Pinter,1,2005,literature
797,International Atomic Energy Agency,,2,2005,peace
798,Mohamed,ElBaradei,2,2005,peace
791,Roy J.,Glauber,2,2005,physics
792,John L.,Hall,4,2005,physics
793,Theodor W.,Hänsch,4,2005,physics
789,Barry J.,Marshall,2,2005,medicine
790,J. Robin,Warren,2,2005,medicine
779,Aaron,Ciechanover,3,2004,chemistry
780,Avram,Hershko,3,2004,chemistry
781,Irwin,Rose,3,2004,chemistry
786,Finn E.,Kydland,2,2004,economics
787,Edward C.,Prescott,2,2004,economics
782,Elfriede,Jelinek,1,2004,literature
783,Wangari,Maathai,1,2004,peace
776,David J.,Gross,3,2004,physics
777,H. David,Politzer,3,2004,physics
778,Frank,Wilczek,3,2004,physics
774,Richard,Axel,2,2004,medicine
775,Linda B.,Buck,2,2004,medicine
769,Peter,Agre,2,2003,chemistry
770,Roderick,MacKinnon,2,2003,chemistry
771,Robert F.,Engle III,2,2003,economics
772,Clive W.J.,Granger,2,2003,economics
763,J. M.,Coetzee,1,2003,literature
773,Shirin,Ebadi,1,2003,peace
766,Alexei,Abrikosov,3,2003,physics
767,Vitaly L.,Ginzburg,3,2003,physics
768,Anthony J.,Leggett,3,2003,physics
764,Paul C.,Lauterbur,2,2003,medicine
765,Sir Peter,Mansfield,2,2003,medicine
756,John B.,Fenn,4,2002,chemistry
757,Koichi,Tanaka,4,2002,chemistry
