State,2020-01_Zillow,2020-02_Zillow,2020-03_Zillow,2020-04_Zillow,2020-05_Zillow,2020-06_Zillow,2020-07_Zillow,2020-08_Zillow,2020-09_Zillow,2020-10_Zillow,2020-11_Zillow,2020-12_Zillow,2021-01_Zillow,2021-02_Zillow,2021-03_Zillow,2021-04_Zillow,2021-05_Zillow,2021-06_Zillow,2021-07_Zillow,2021-08_Zillow,2021-09_Zillow,2021-10_Zillow,2021-11_Zillow,2021-12_Zillow,2022-01_Zillow,2022-02_Zillow,2022-03_Zillow,2022-04_Zillow,2022-05_Zillow,2020-01_COVID,2020-02_COVID,2020-03_COVID,2020-04_COVID,2020-05_COVID,2020-06_COVID,2020-07_COVID,2020-08_COVID,2020-09_COVID,2020-10_COVID,2020-11_COVID,2020-12_COVID,2021-01_COVID,2021-02_COVID,2021-03_COVID
Alabama,163344.4979517636,164399.8434355513,165482.14838319362,166608.06316071557,167560.6588714998,168369.64232572794,169230.33953184824,170520.04690305196,172428.77278405157,174589.85676510877,176883.3020878431,178849.7190255445,180688.4020687996,182593.65791566987,184672.74263569363,186987.5242774569,189585.9220687088,192554.8270088324,195498.24646031292,197796.8518838672,199281.10574169425,200698.62693525403,202646.55180610888,204781.11601651748,207145.59578613224,209472.3978981512,211983.19617881623,214714.23476013023,217167.3320552644,0.0,0.0,2.0,285.0,517.0,231.0,1015.0,1053.0,1173.0,10734.0,1843.0,4190.0,5669.0,24110.0,1072.0
Alaska,314003.6264248558,314802.4102429583,315252.7446945083,315309.9853662742,314517.74591389013,313406.65357421985,312834.7188677581,313709.8072642832,315598.93524553813,317579.13418368244,319502.8884167069,321133.5339296571,322202.85620974185,322780.5866248891,323031.3960483323,323935.8232417004,325935.44294838497,328664.98300388054,332593.1784428539,336102.22349597275,339282.34701333835,341427.477776264,342892.4231280898,344578.04472526914,345879.9774798337,346900.700542654,348290.99044762825,350582.18163124955,353965.8431904078,0.0,0.0,65.0,1.0,3.0,11.0,68.0,75.0,94.0,31.0,144.0,121.0,168.0,72.0,258.0
Arizona,278456.0502563953,281175.7722277181,284261.78637285763,287052.609093292,288991.1959177607,290322.27188813494,291885.4823203471,294608.7423570448,298905.2222885656,303990.41256958834,309612.8260131988,315102.6166741917,320509.89582664863,326127.07609910466,332698.1885266078,340386.9986014199,349563.659240318,359651.8139323241,369702.0412829648,378539.0381456011,385884.4709957129,392409.7328335186,398624.4204194,404459.3315817263,410528.502923774,417431.83908779017,425958.81445873575,435538.0282674196,445037.72884732735,1.0,1.0,16.0,16.0,31.0,1885.0,2947.0,714.0,851.0,5375.0,3748.0,4517.0,6023.0,16539.0,47021.0
Arkansas,148877.15508315127,149440.7143161675,150229.43013206616,151368.6370439366,152318.00894059846,153083.48827196247,154007.61172985294,155367.85374535466,157263.4005003537,159116.42091256782,160909.21665607303,162292.0820779706,163636.31747897342,165096.90903896114,166850.63842512632,168797.8275619305,170981.5209449067,173530.09909054573,176151.64473837064,178409.46726054852,179918.98404019058,181331.53333953733,183044.66587542507,185069.8384768767,187345.2227600029,189465.01528708544,191400.81259666747,193321.26468180364,194969.9256835885,0.0,0.0,22.0,8.0,14.0,38.0,1689.0,405.0,515.0,777.0,260.0,685.0,877.0,1701.0,5793.0
California,548982.1260582964,551243.1014533754,553421.4450482788,555432.9075861332,555686.9549927231,554483.4320192644,554328.1230122921,557564.719057476,564750.0842270539,573976.5900534851,584720.3715075761,595436.9155157837,604335.7804700738,611949.5189578403,618846.9363784535,627876.5722547033,638689.0125598923,650297.9801880805,660790.4136823736,668049.6581782512,672972.0652700085,677366.517775188,683160.6963779697,690303.6064856438,700265.1966015236,713048.1115457165,728462.2516696253,742479.5382516921,753045.5170429191,1.0,1.0,149.0,4.0,38.0,14212.0,11483.0,446.0,543.0,8564.0,41957.0,1817.0,2809.0,22060.0,291492.0
Colorado,399131.3236293821,401657.4436341816,404564.9441187463,407332.30233388447,408652.84616867424,408847.37864039367,409009.03880857135,410748.2504091544,414526.9966980412,419571.6407581341,425327.7881716407,430962.847993639,436385.4851848598,442530.3476342823,449991.78481511446,458673.0464538469,468061.644602915,477281.2336972579,484974.90052807936,490275.21138846944,493575.5275522621,496967.29050702177,501547.0862983782,507101.74240124086,514600.6833564616,524226.29095433326,536192.2740601102,547970.4695057374,557557.5255580954,0.0,0.0,185.0,934.0,177.0,2682.0,1026.0,121.0,162.0,242.0,27679.0,4662.0,5133.0,1286.0,326.0
Connecticut,259389.7894230055,260623.52741949307,262335.07405693736,263988.0310267433,264914.4175553841,265072.08877282165,265126.81831805105,266352.39323399606,269117.9831363892,273188.0226235714,278118.8884198522,283250.9430121144,288098.45705871977,292775.1440208401,297330.1943100475,301830.9165515597,306519.1863978,311220.74774516706,314687.3979891128,316122.6313234784,315559.4855589599,314966.1806393089,315191.36777503235,316757.49189301394,320427.0763455707,325672.44564410305,331967.5670683057,337885.0667920177,343325.6732275389,0.0,0.0,1870.0,657.0,11323.0,610.0,693.0,801.0,997.0,1469.0,2613.0,5140.0,8200.0,9155.0,10705.0
Delaware,273866.7602174331,275211.37431488093,276641.86677422,277726.3153966603,277878.9820246661,277701.7356533854,278139.41457945283,279798.3197228157,282699.0158559138,286460.1781070374,291218.0994341813,296668.8302116224,302031.2460143086,307317.4093254072,311691.63008524047,315922.1822923208,320106.2755559822,324737.94952013047,328409.75597672304,330459.84676416434,330788.9934149428,331420.1325186849,333090.3569755716,335921.97889216593,340107.79365642456,345102.1229538041,350962.5136119034,356771.45883562247,361773.8869970704,0.0,0.0,34.0,25.0,51.0,38.0,219.0,285.0,491.0,91.0,111.0,136.0,182.0,194.0,14678.0
Florida,248142.68702797056,249951.2915885148,251540.29288793888,252506.8162337081,252773.3670987142,252907.024157105,253477.91906347865,255051.61355528675,257575.5890412979,260562.25448669144,264068.9124759995,267554.22843129886,271161.4727891697,274755.2996215032,278595.5975714097,282866.2134964559,288034.338566865,294361.442630908,300840.69949042244,306604.9170810787,311275.56592452014,315874.2300043157,321018.62864588393,326579.4318581393,333560.1665655749,341679.6366200557,351263.2169137338,361341.242680305,370999.9351378692,0.0,0.0,3.0,130.0,69.0,339.0,1300.0,4153.0,2127.0,2498.0,3381.0,12856.0,16706.0,7721.0,1750.0
Georgia,207374.30304645235,208924.60986849532,210393.9027617917,211558.5983264061,212128.65734930328,212496.44390580023,213223.4417622852,214893.9936793246,217565.05382773865,220856.14714512727,224544.5300811997,228213.5904026432,231888.94835211453,235716.15905475928,239728.63209938235,243921.4734486552,248445.90881153187,253349.8172409669,257800.6833677408,261315.1437966164,264065.37419685355,267280.6620251739,271365.7151514376,276045.1766655284,282041.66288110625,288703.4446892958,295665.42160531227,301937.3157849906,307275.1814753415,0.0,0.0,3.0,16.0,74.0,154.0,3052.0,308.0,813.0,1078.0,3775.0,1044.0,1389.0,1434.0,15134.0
